Front,Back,Tags
Q4: How does FastAPI's `Depends` differ from a heavyweight DI container?,"FastAPI's <code>Depends</code> is request-scoped, declarative, and tied to the framework's request lifecycle. It's a tiny container with one convention. A general DI container (like <code>dependency-injector</code>) handles broader lifecycles (singletons across the app), config loading, and isn't tied to a web framework. For most FastAPI apps, <code>Depends</code> is enough.<br><br><i>Source: Dependency Injection</i>",phase-1 dependency-injection solid fundamentals topic-dependency-injection diff-medium
Q5: What's a 'composition root' and why does it matter?,"The single place where the application wires its object graph — typically <code>main.py</code> or <code>app.py</code>. Centralizing wiring there means: one file shows your architecture, swap a dependency by changing one line, no class deeper in the codebase needs to know how dependencies are constructed. Don't let <code>new</code>/constructor calls for major dependencies leak into the deeper code.<br><br><i>Source: Dependency Injection</i>",phase-1 dependency-injection solid fundamentals topic-dependency-injection diff-medium
Q1: Adapter vs Decorator vs Proxy — they all wrap. What's different?,"All three wrap a wrapped object and forward calls. Differences are in <i>intent</i>: • <b>Adapter</b> changes the <i>interface</i> (different shape). • <b>Decorator</b> keeps the interface, <i>adds behavior</i>. • <b>Proxy</b> keeps the interface, <i>controls access</i> (lazy load, auth, caching). Same UML, different purposes — interview answers should focus on intent.<br><br><i>Source: Adapter Pattern</i>",phase-1 design-patterns structural topic-adapter diff-easy
Q2: When would you use class adapter (inheritance) over object adapter (composition)?,"Almost never in modern code. Class adapter requires multiple inheritance and ties you to the adaptee's class hierarchy — fragile if the adaptee changes. Object adapter (composition) is more flexible: works with any subclass of the adaptee, can swap adaptees at runtime.<br><br><i>Source: Adapter Pattern</i>",phase-1 design-patterns structural topic-adapter diff-easy
Q3: Where should adapters live in a Clean Architecture / Hexagonal layout?,"At the edges — the ""infrastructure"" or ""adapters"" layer. The domain core defines the interface (port); the adapter implements it for a specific technology (database, message broker, third-party SDK). This is literally where Hexagonal Architecture gets the name ""ports & adapters.""<br><br><i>Source: Adapter Pattern</i>",phase-1 design-patterns structural topic-adapter diff-easy
Q4: How do you test code that uses an Adapter?,"Mock the adaptee at the boundary, assert the adapter translates correctly. The clients of the adapter need only a stub Storage implementation — they don't know about the SDK. Two test layers: adapter tests (verify translation) and client tests (use a fake conforming to the port).<br><br><i>Source: Adapter Pattern</i>",phase-1 design-patterns structural topic-adapter diff-easy
"Q5: Adapter for protocol mismatch (e.g., sync wrapping async)?","Yes — common case. Wrapping a sync library to expose an async interface, you'd typically use <code>asyncio.to_thread</code> to avoid blocking the event loop. Wrapping async with sync requires running an event loop — usually <code>asyncio.run</code> per call (slow) or sharing a background loop (complex).<br><br><i>Source: Adapter Pattern</i>",phase-1 design-patterns structural topic-adapter diff-easy
Q1: When does Python's keyword-arguments not replace Builder?,"Three cases: (1) Multi-stage construction where intermediate state matters and validation runs incrementally. (2) Fluent DSLs where the chain itself is the point (SQL builders, test fixtures). (3) Type-state encoding where types track which fields are set. For ""object with 10 optional params,"" dataclass beats Builder.<br><br><i>Source: Builder Pattern</i>",phase-1 design-patterns creational topic-builder diff-easy
Q2: Builder vs Factory?,"Factory: produces objects in <i>one step</i> — caller picks the kind, factory returns it. Builder: produces objects across <i>many steps</i> — caller incrementally configures, then materializes. Factory hides which class is instantiated; Builder hides the construction algorithm.<br><br><i>Source: Builder Pattern</i>",phase-1 design-patterns creational topic-builder diff-easy
Q3: Why is `return self` important in fluent Builders?,"Without it, the chain breaks: <code>builder.url(&quot;...&quot;).method(...)</code> becomes <code>None.method(...)</code> → AttributeError. Every configuration method returns <code>self</code> so calls can be chained.<br><br><i>Source: Builder Pattern</i>",phase-1 design-patterns creational topic-builder diff-easy
Q4: How does Builder support immutability?,"Builder collects mutable state internally; <code>build()</code> produces an immutable snapshot. The Builder can be reused or discarded; the built object never changes. This separates ""configuration-time"" mutability from ""use-time"" immutability — which is exactly what most domain objects want.<br><br><i>Source: Builder Pattern</i>",phase-1 design-patterns creational topic-builder diff-easy
Q5: Common Python libraries that use Builder?,SQLAlchemy's query API: <code>session.query(User).filter(...).order_by(...).limit(10).all()</code>. Pandas method chaining. <code>httpx.Client</code> configuration. Django's QuerySet. All build up state through chained method calls and materialize on a terminal operation.<br><br><i>Source: Builder Pattern</i>,phase-1 design-patterns creational topic-builder diff-easy
Q1: CoR vs Decorator — both are about composition?,"Both wrap handlers around a core. Difference: <b>Decorator</b> wraps <i>one</i> object to add behavior to <i>every</i> call; the call site is fixed. <b>CoR</b> routes a request through a <i>sequence</i>, and any handler can short-circuit, transform, or skip. Decorators stack on a single target; CoR is a pipeline whose order and members are explicit.<br><br><i>Source: Chain of Responsibility</i>",phase-1 design-patterns behavioral topic-chain-of-responsibility diff-medium
Q2: How does Express/FastAPI middleware implement CoR?,"Each middleware receives <code>(request, next)</code> and decides whether to call <code>next</code> (pass to the next layer), short-circuit (return a response directly), or transform the request before passing. Order of registration = order of execution. Authentication runs early; logging often wraps around (logs request and response).<br><br><i>Source: Chain of Responsibility</i>",phase-1 design-patterns behavioral topic-chain-of-responsibility diff-medium
Q3: When would 'first match wins' be wrong?,"When all handlers must contribute. Validation, security checks, audit logs — every layer must run. Use a pipeline where each handler can fail (raise), but none short-circuits success.<br><br><i>Source: Chain of Responsibility</i>",phase-1 design-patterns behavioral topic-chain-of-responsibility diff-medium
Q4: How do you debug a long CoR chain in production?,"(1) Log entry/exit per handler with a request/correlation ID. (2) Make the chain configuration visible (e.g., <code>app.middleware()</code> registration list). (3) Add a <code>dry_run</code> mode that logs which handler would have processed without executing. (4) Distributed tracing (OpenTelemetry spans per handler).<br><br><i>Source: Chain of Responsibility</i>",phase-1 design-patterns behavioral topic-chain-of-responsibility diff-medium
Q5: How does CoR relate to event-driven architectures?,"CoR is in-process and ordered; events (Observer / pub-sub) are typically broadcast and unordered. CoR handlers know they're in a sequence and may transform the request. Event subscribers are independent and don't know about each other. CoR is ""pipeline""; events are ""broadcast.""<br><br><i>Source: Chain of Responsibility</i>",phase-1 design-patterns behavioral topic-chain-of-responsibility diff-medium
Q1: What does `@functools.wraps` do and why is it important?,"Copies the wrapped function's metadata (name, docstring, module, annotations) to the wrapper. Without it, introspection tools (debuggers, doc generators, <code>help()</code>) all see <code>wrapper</code> instead of the real function. Test runners may also fail to discover decorated tests.<br><br><i>Source: Decorator Pattern</i>",phase-1 design-patterns structural topic-decorator diff-medium
Q2: What's the difference between Decorator and Adapter?,"Both wrap an object. <b>Adapter</b> changes the <i>interface</i> — it bridges incompatibility (caller wants method <code>read()</code>, wrapped object has <code>download()</code>). <b>Decorator</b> keeps the <i>interface identical</i> and adds behavior. Adapter is structural translation; Decorator is structural augmentation.<br><br><i>Source: Decorator Pattern</i>",phase-1 design-patterns structural topic-decorator diff-medium
Q3: Decorator vs Subclassing?,Subclassing is static: you commit at compile/definition time. Decorator is runtime: you stack any combination of responsibilities. Decorator avoids the combinatorial explosion of subclasses for every feature combination. Subclassing is fine when there's one obvious extension axis.<br><br><i>Source: Decorator Pattern</i>,phase-1 design-patterns structural topic-decorator diff-medium
Q4: How would you implement a decorator that respects async functions?,"Detect with <code>inspect.iscoroutinefunction</code> and return a coroutine wrapper: <pre><code>import inspect, functools def timed(fn):     if inspect.iscoroutinefunction(fn):         @functools.wraps(fn)         async def aw(*a, **kw):             t0 = time.perf_counter()             r = await fn(*a, **kw)             print(time.perf_counter() - t0)             return r         return aw     # sync version... </code></pre><br><br><i>Source: Decorator Pattern</i>",phase-1 design-patterns structural topic-decorator diff-medium
Q5: What order do stacked decorators apply?,"<code>@a</code> <code>@b</code> <code>def f(): ...</code> is equivalent to <code>f = a(b(f))</code>. So <code>b</code> wraps <code>f</code> first, then <code>a</code> wraps the result. At call time: <code>a</code> runs first (outermost), delegates to <code>b</code>, which delegates to <code>f</code>. Mnemonic: top decorators are outermost.<br><br><i>Source: Decorator Pattern</i>",phase-1 design-patterns structural topic-decorator diff-medium
Q1: Factory Method vs Abstract Factory — what's the difference?,"<b>Factory Method</b> is one method (often abstract) that subclasses override to produce one kind of object. <b>Abstract Factory</b> is an object whose methods produce a <i>family</i> of related objects, ensuring consistency across them. Factory Method = single-product polymorphism; Abstract Factory = product-family polymorphism.<br><br><i>Source: Factory Pattern</i>",phase-1 design-patterns creational topic-factory diff-easy
Q2: When does a Factory help vs hurt?,"Helps when: choice depends on config/input, multiple implementations exist, construction is non-trivial. Hurts when: there's one implementation forever, or the factory becomes a god-object knowing every concrete type (then you've just moved the coupling). Use it to <i>reduce</i> <code>if isinstance</code> chains, not to add ceremony around <code>Foo()</code>.<br><br><i>Source: Factory Pattern</i>",phase-1 design-patterns creational topic-factory diff-easy
Q3: How does dependency injection relate to factories?,"DI containers are essentially factories with extra features (lifetime management, autowiring). Both centralize construction. Difference: a factory is invoked explicitly by the caller (<code>make_notifier(&quot;email&quot;)</code>); DI hands the instance in implicitly. They compose well — DI containers often <i>use</i> factory functions as providers.<br><br><i>Source: Factory Pattern</i>",phase-1 design-patterns creational topic-factory diff-easy
Q4: What's wrong with this factory?,"<pre><code>def make(kind):     if kind == &quot;a&quot;: return A()     elif kind == &quot;b&quot;: return B()     # ... </code></pre> Open/Closed violation: adding kind ""c"" requires editing this function. Replace with a registry dict or auto-registration via <code>__init_subclass__</code>. Also: silently returns <code>None</code> for unknown kinds — should raise <code>ValueError</code>.<br><br><i>Source: Factory Pattern</i>",phase-1 design-patterns creational topic-factory diff-easy
Q5: Are class methods the same as static factory methods?,"Close, but <code>@classmethod</code> receives <code>cls</code> (so it's polymorphic over subclasses) and <code>@staticmethod</code> doesn't. Pythonic factory methods are usually <code>@classmethod</code> named <code>from_*</code>: <code>Date.from_string(&quot;2024-01-01&quot;)</code>, <code>User.from_dict(...)</code>. They give you alternative constructors without overloading <code>__init__</code>.<br><br><i>Source: Factory Pattern</i>",phase-1 design-patterns creational topic-factory diff-easy
Q1: Observer vs Pub/Sub?,"Observer is in-process: subject and observers share memory and call each other directly. Pub/Sub is typically distributed, mediated by a broker (Kafka, Redis, RabbitMQ). Pub/Sub publishers and subscribers don't know each other at all — they only know the broker and the topic. Observer is the design pattern; Pub/Sub is its distributed-system cousin.<br><br><i>Source: Observer Pattern</i>",phase-1 design-patterns behavioral topic-observer diff-medium
Q2: What problems does Observer cause and how do you mitigate?,"Hidden coupling — adding an observer changes runtime behavior in ways not visible at the call site. Mitigations: explicit event names (not method names), document emitted events as a contract, log every event in dev, avoid cyclic notifications (subject A → observer → subject B → observer A).<br><br><i>Source: Observer Pattern</i>",phase-1 design-patterns behavioral topic-observer diff-medium
Q3: Push vs Pull notification?,"<b>Push:</b> subject sends the data with the notification (<code>observer.update(new_value)</code>). <b>Pull:</b> subject sends only ""something changed""; observer asks for what it needs (<code>observer.update(self); ... self.subject.get_state()</code>). Push is simpler; Pull is flexible (observers fetch only what they care about). GoF's textbook example is Pull.<br><br><i>Source: Observer Pattern</i>",phase-1 design-patterns behavioral topic-observer diff-medium
Q4: How would you make Observer thread-safe?,Lock around <code>attach</code>/<code>detach</code>/<code>notify</code> so the observer list isn't mutated mid-iteration. Or copy the list before iterating: <code>for o in list(self._observers): o.update(self)</code>. Better: use <code>concurrent.futures</code> to dispatch notifications and let observers run independently.<br><br><i>Source: Observer Pattern</i>,phase-1 design-patterns behavioral topic-observer diff-medium
Q5: How does Observer differ from Mediator?,Observer broadcasts change events from one source to many listeners (1:N). Mediator coordinates communication between many peers via a hub (N:N). Observer is one-way (subject → observer); Mediator is bidirectional through the hub.<br><br><i>Source: Observer Pattern</i>,phase-1 design-patterns behavioral topic-observer diff-medium
"Q1: Proxy vs Decorator — same shape, what's different?","Both wrap and forward. <b>Decorator</b> adds behavior to enrich the wrapped object (logging, retries). <b>Proxy</b> controls access to it (lazy load, auth check, remote call, caching). Intent matters, not structure. A logging Decorator and a logging Proxy can look identical — the question is whether you're augmenting or gatekeeping.<br><br><i>Source: Proxy Pattern</i>",phase-1 design-patterns structural topic-proxy diff-medium
Q2: When is a remote Proxy a leaky abstraction?,"When callers don't know they're paying network cost. A <code>user.email</code> access that quietly hits a remote service can ruin a tight loop. Mitigations: explicit method names (<code>fetch_email()</code> not property), batch APIs, preload patterns, latency budgets per call.<br><br><i>Source: Proxy Pattern</i>",phase-1 design-patterns structural topic-proxy diff-medium
Q3: Protection proxy vs middleware?,"Protection proxy operates at the object level (per method). Middleware operates at the request boundary (per HTTP request). For coarse access control, middleware. For fine-grained control across many call sites, a proxy keeps the logic in one place.<br><br><i>Source: Proxy Pattern</i>",phase-1 design-patterns structural topic-proxy diff-medium
Q4: How does Python's `__getattr__` enable transparent proxies?,"<code>__getattr__(self, name)</code> is invoked when normal lookup fails. By forwarding to a wrapped object inside it, you proxy every attribute without explicitly listing them. Combined with <code>__setattr__</code> for writes, you get a full transparent proxy. Trade-off: IDE autocomplete and static type checkers can't see the proxied attributes.<br><br><i>Source: Proxy Pattern</i>",phase-1 design-patterns structural topic-proxy diff-medium
Q5: Virtual proxy vs lazy property?,"<code>@property</code> lazy-init is a one-attribute version: compute once, cache, return. Virtual proxy wraps the <i>whole object</i>: the surrogate IS the contact point until the heavy real subject is needed. Use <code>@property</code> for one-attribute lazy values; virtual proxy when even <i>constructing</i> the real object is expensive.<br><br><i>Source: Proxy Pattern</i>",phase-1 design-patterns structural topic-proxy diff-medium
"Q1: What problems does Singleton solve, and what new ones does it create?","Solves: enforce a single instance for a shared resource, provide global access. Creates: hidden global state (callers can't see the dependency in their signatures), tests pollute each other (singleton state survives), tight coupling (any code can grab it), inheritance is awkward (subclass instances would each be singletons of themselves).<br><br><i>Source: Singleton Pattern</i>",phase-1 design-patterns creational topic-singleton diff-easy
Q2: Why is `import` already a Singleton mechanism in Python?,<code>sys.modules</code> caches modules after first import. Subsequent <code>import config</code> returns the same module object globally. So a module with module-level state IS a singleton — you don't need a class for it.<br><br><i>Source: Singleton Pattern</i>,phase-1 design-patterns creational topic-singleton diff-easy
Q3: How would you make a Singleton thread-safe?,"Double-checked locking: check, lock, check again, create. The outer check avoids lock contention on the hot path; the inner check prevents two threads both creating an instance during the brief window between first-check and acquiring the lock. Or use <code>threading.Lock</code> to protect creation, or initialize at module load time so creation happens during the import lock.<br><br><i>Source: Singleton Pattern</i>",phase-1 design-patterns creational topic-singleton diff-easy
Q4: Why do testers hate Singletons?,"State leaks between tests: test A mutates the singleton; test B sees the mutated state. You can't easily inject a fake. You can't run tests in parallel safely. Workaround: provide a <code>reset()</code> classmethod and call it in <code>setUp</code>/<code>tearDown</code>, or refactor to DI.<br><br><i>Source: Singleton Pattern</i>",phase-1 design-patterns creational topic-singleton diff-easy
Q5: Singleton vs Borg pattern?,"Singleton enforces <i>one instance</i>. Borg (a Python idiom) enforces <i>shared state</i> across many instances by setting <code>__dict__</code> to a class-level dict. Borg is friendlier to inheritance and identity checks (<code>s1 is s2</code> is False but <code>s1.__dict__ is s2.__dict__</code> is True). Both solve ""shared state""; Borg is less common today.<br><br><i>Source: Singleton Pattern</i>",phase-1 design-patterns creational topic-singleton diff-easy
Q1: When would you choose Strategy over inheritance?,When the variation is <i>behavioral</i> (an algorithm) rather than <i>structural</i> (an entity type). Inheritance bundles state + behavior; Strategy isolates behavior so you can swap it without touching the entity. Strategy also avoids inheritance's brittleness — adding a variant doesn't require subclassing the host class.<br><br><i>Source: Strategy Pattern</i>,phase-1 design-patterns behavioral topic-strategy diff-easy
Q2: Strategy vs State pattern?,"Both have an object delegating to a polymorphic helper. Difference: <b>Strategy</b> is chosen <i>externally</i> and is typically stable for the object's lifetime. <b>State</b> transitions internally based on events; the object swaps its own state in response to inputs. Strategy is ""what algorithm should I use?""; State is ""what mode am I in?"".<br><br><i>Source: Strategy Pattern</i>",phase-1 design-patterns behavioral topic-strategy diff-easy
"Q3: Is `sorted(items, key=...)` an example of Strategy?",Yes — <code>key</code> is a strategy function that customizes how items are compared. <code>cmp_to_key</code> likewise. Built-in Pythonic Strategy.<br><br><i>Source: Strategy Pattern</i>,phase-1 design-patterns behavioral topic-strategy diff-easy
Q4: How do you test a class that uses Strategy?,Pass in fake/stub strategies. The class becomes trivially unit-testable without mocking — you control the strategy's return value directly. This is one of Strategy's biggest wins.<br><br><i>Source: Strategy Pattern</i>,phase-1 design-patterns behavioral topic-strategy diff-easy
Q5: Strategy and Open/Closed Principle?,"Strategy IS OCP applied. The host class is <i>closed</i> — you don't edit it to add behavior. The strategy interface is <i>open</i> — anyone can implement it for new variants. Adding a new shipping option = new function/class, no host changes.<br><br><i>Source: Strategy Pattern</i>",phase-1 design-patterns behavioral topic-strategy diff-easy
Q1: Why is `except:` (bare except) considered bad?,"It catches <i>every</i> exception including <code>KeyboardInterrupt</code> and <code>SystemExit</code> — making the program unkillable from the keyboard and breaking shutdown. It also hides programming bugs (typos, missing imports) by catching <code>NameError</code>/<code>ImportError</code>. Use <code>except Exception:</code> if you really need broad handling.<br><br><i>Source: Error Handling</i>",phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q2: When do exceptions hurt performance?,Raising/catching costs microseconds — fine for the rare case. Expensive in <i>very</i> tight loops or as control flow (<code>for x in iterable: try: ...</code>). Profile if suspicious. Common idiomatic exception (<code>StopIteration</code> ending a <code>for</code> loop) is optimized.<br><br><i>Source: Error Handling</i>,phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q3: What's wrong with `except Exception as e: log(e); raise`?,"Often nothing — if you're adding context. But: (1) The catch may be at the wrong layer (better to let it bubble to the request boundary). (2) Logging at every layer creates duplicate logs of the same error. (3) Without <code>from e</code> or context, you lose the original traceback when re-raising a different exception. Log <i>once</i> at the boundary; re-raise without modification deeper inside.<br><br><i>Source: Error Handling</i>",phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q4: When would you choose Result types over exceptions?,"For expected-failure cases where the type system should force callers to handle both outcomes (validation, parsing, lookup-or-default). Result types make failure paths visible in signatures (<code>Result[User, NotFound]</code> vs <code>User</code>). For exceptional cases (network down, programmer error), exceptions remain better — they bubble naturally.<br><br><i>Source: Error Handling</i>",phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q5: How would you design retry behavior for an HTTP call?,"Three knobs: (1) <b>What to retry on</b> — connection errors, 5xx, 429 (rate limited). Never retry 4xx (it'll fail again). (2) <b>Backoff</b> — exponential with jitter, e.g., 1s, 2s, 4s, 8s ± random. (3) <b>Total budget</b> — max attempts AND max total time. Combine with circuit breaker for cascading failure protection. Ensure operations are idempotent or use idempotency keys.<br><br><i>Source: Error Handling</i>",phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q6: What does `raise X from e` do?,"Sets <code>X.__cause__ = e</code>. Tracebacks show both: 'During handling of [original], another exception occurred: [new]'. This preserves the root cause when you wrap an exception in a domain-specific one. Without <code>from</code>, Python sets <code>__context__</code> instead (still chained, but labeled differently — 'During handling… ').<br><br><i>Source: Error Handling</i>",phase-1 error-handling exceptions fundamentals topic-error-handling diff-medium
Q1: What's a pure function?,"A function whose output depends only on its inputs and that produces no side effects (no I/O, no mutation of external state, no clock reads, no random calls). Pure functions are referentially transparent — you can replace the call with its return value anywhere without changing program behavior.<br><br><i>Source: Functional Programming</i>",phase-1 functional-programming fundamentals topic-functional-programming diff-medium
Q2: Why is immutability valuable in concurrent code?,"No shared mutable state means no data races. Multiple threads can read the same value without locks. In Python this matters less because of the GIL, but in distributed systems (or any language with real parallelism) immutability eliminates an entire class of bugs.<br><br><i>Source: Functional Programming</i>",phase-1 functional-programming fundamentals topic-functional-programming diff-medium
Q3: Difference between `map`/`filter` and list comprehensions in Python?,"Functionally equivalent for simple cases. Comprehensions are more idiomatic, often clearer, and slightly faster. <code>map</code>/<code>filter</code> shine when you already have a named function to apply (<code>map(json.loads, lines)</code>). Generator expressions (<code>(x*2 for x in xs)</code>) are lazy — useful for large or infinite sequences.<br><br><i>Source: Functional Programming</i>",phase-1 functional-programming fundamentals topic-functional-programming diff-medium
Q4: What is `functools.lru_cache` and when would you use it?,Decorator that memoizes function results based on arguments — cache hits skip the function body. Use for <b>pure</b> functions with expensive computation and a bounded input space. Don't use for impure functions (cache won't reflect external changes) or unbounded inputs (memory leak).<br><br><i>Source: Functional Programming</i>,phase-1 functional-programming fundamentals topic-functional-programming diff-medium
Q5: Python doesn't optimize tail calls — why does that matter?,"Recursive solutions in FP languages rely on tail-call optimization to avoid stack overflow. Python doesn't do TCO; deep recursion blows the stack (~1000 frames default). Convert recursion to iteration, or use an explicit stack/queue, when depth might grow.<br><br><i>Source: Functional Programming</i>",phase-1 functional-programming fundamentals topic-functional-programming diff-medium
Q1: What are the three pillars of observability?,"Logs (discrete events with context), metrics (aggregates over time, used for dashboards and alerts), traces (causally-linked spans across a request, often across services). Each answers different questions: logs = ""what happened?"", metrics = ""how much / how often?"", traces = ""where did the time go?"". A trace ID propagated everywhere stitches all three.<br><br><i>Source: Logging &amp; Observability</i>",phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q2: Why structured (JSON) logs over plain text?,"Search: <code>level=ERROR AND user_id=u1</code> is a query, not a regex. Aggregation: count errors by endpoint without parsing. Field type preservation: durations stay numeric, not strings. Tooling: every log platform (ELK, Loki, Datadog) understands JSON. Once you've used structured logs in production, plain-text feels primitive.<br><br><i>Source: Logging &amp; Observability</i>",phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q3: How do you propagate a correlation ID across services?,"Generate at the edge (load balancer, API gateway, or first service). Pass downstream in a header (<code>X-Request-ID</code> or W3C <code>traceparent</code>). Each service includes it in every log line and forwards it on. In Python, store it in <code>contextvars</code> so it's available without threading it through every function — async-safe and inheritance-friendly.<br><br><i>Source: Logging &amp; Observability</i>",phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q4: Logs vs metrics vs traces — when do you reach for each?,Metrics for dashboards and alerts (high cardinality is expensive — keep it bounded). Logs for forensic detail when you need full context. Traces for diagnosing latency: which step took the time? Anti-pattern: counting things in logs and grep-ing them later. Use metrics for counting; logs for context.<br><br><i>Source: Logging &amp; Observability</i>,phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q5: What's the difference between `logger.error('...')` and `logger.exception('...')`?,"<code>exception()</code> is <code>error(exc_info=True)</code> — it includes the traceback. Only valid inside an <code>except:</code> block. <code>error()</code> without traceback is for ""operation failed"" reports where you don't have an exception object (or don't want the trace).<br><br><i>Source: Logging &amp; Observability</i>",phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q6: How would you redact PII before logging?,Several approaches: (1) Filter at the logger level — a <code>logging.Filter</code> that scans records for sensitive patterns and redacts. (2) Wrapper around the log call that redacts known fields. (3) Type-system enforced — use <code>Secret[str]</code> newtype that has a <code>__repr__</code> returning <code>***</code>. Layered defense: type-system + filter as a safety net. Never log entire request bodies without filtering.<br><br><i>Source: Logging &amp; Observability</i>,phase-1 logging observability fundamentals topic-logging-observability diff-medium
Q1: Why does Python need a GC if it has reference counting?,"Reference counting can't detect cycles: A holds B, B holds A — neither's refcount ever drops to zero. Without a cycle collector they'd leak forever. The generational GC's job is exclusively to find and free unreachable cycles. Refcount handles the easy 99% immediately; GC handles the cycles.<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
Q2: How would you find a memory leak in a long-running service?,"1. Confirm growth: monitor RSS over time. 2. Snapshot with <code>tracemalloc.start()</code>; take snapshots at intervals; diff. 3. The diff shows where new allocations accumulated. 4. Check that line: is it appending to a global dict, registering a subscriber, caching without eviction? 5. Patch and re-measure. For production: <code>pyspy --memoryprofiler</code> against the live PID.<br><br><i>Source: Memory Management &amp; Garbage Collection</i>",phase-1 memory garbage-collection fundamentals topic-memory-management diff-hard
